"time", "liberal percentage", "conservative percentage", "liberal positive", "liberal negative", "conservative positive", "conservative negative"
"00:00:25", "89.129365", "10.870635", "4461.000000", "-377.000000", "728.000000", "-4599.000000"
"00:00:55", "13.119697", "86.880303", "9138.000000", "-20951.000000", "39562.000000", "0.000000"
"00:01:25", "63.789706", "36.210294", "5382.000000", "-1946.000000", "2648.000000", "-2711.000000"
"00:01:55", "96.186458", "3.813542", "48326.000000", "-1916.000000", "0.000000", "0.000000"
"00:02:25", "100.000000", "0.000000", "11458.000000", "0.000000", "0.000000", "0.000000"
"00:02:55", "98.960573", "1.039427", "426717.000000", "-1438.000000", "3044.000000", "0.000000"
"00:03:25", "94.532300", "5.467700", "426992.000000", "-3343.000000", "21354.000000", "0.000000"
"00:03:55", "24.272989", "75.727011", "63240.000000", "-4696.000000", "202222.000000", "-3084.000000"
"00:04:25", "56.688179", "43.311821", "69159.000000", "-4998.000000", "206339.000000", "-207447.000000"
"00:04:55", "88.523599", "11.476401", "5919.000000", "-474.000000", "26681.000000", "-203542.000000"
"00:05:25", "2.791543", "97.208457", "783.000000", "-4730.000000", "22536.000000", "0.000000"
"00:05:55", "4.804921", "95.195079", "7262.000000", "-156965.000000", "5850.000000", "-956.000000"
"00:06:25", "1.136653", "98.863347", "681.000000", "-156715.000000", "80386.000000", "-2045.000000"
"00:06:55", "63.922779", "36.077221", "172455.000000", "-20656.000000", "77960.000000", "-2276.000000"
"00:07:25", "63.999368", "36.000632", "171881.000000", "-20006.000000", "77960.000000", "-2276.000000"
"00:07:55", "4.484698", "95.515302", "57303.000000", "-68323.000000", "1152119.000000", "0.000000"
"00:08:25", "4.058381", "95.941619", "51539.000000", "-68474.000000", "1149927.000000", "0.000000"
"00:08:55", "98.196769", "1.803231", "80486.000000", "-1127.000000", "351.000000", "0.000000"
"00:09:25", "96.188794", "3.811206", "73989.000000", "-2464.000000", "1290.000000", "-20756.000000"
"00:09:55", "96.799030", "3.200970", "66246.000000", "-1341.000000", "1536.000000", "-20756.000000"
"00:10:25", "82.342780", "17.657220", "309846.000000", "-66196.000000", "246.000000", "0.000000"
"00:10:55", "76.706800", "23.293200", "342884.000000", "-66192.000000", "37930.000000", "0.000000"
"00:11:25", "80.967059", "19.032941", "165211.000000", "-1464.000000", "37930.000000", "-2373.000000"
"00:11:55", "56.679359", "43.320641", "129263.000000", "-95711.000000", "3615.000000", "-692.000000"
"00:12:25", "55.599903", "44.400097", "126487.000000", "-96179.000000", "4829.000000", "0.000000"
"00:12:55", "95.857957", "4.142043", "128465.000000", "-2879.000000", "2672.000000", "0.000000"
"00:13:28", "47.956364", "52.043636", "4366.000000", "-2488.000000", "8437.000000", "-5701.000000"
"00:13:58", "2.635616", "97.364384", "798.000000", "-606.000000", "253923.000000", "-6092.000000"
"00:14:28", "3.825430", "96.174570", "4529.000000", "-64.000000", "247146.000000", "-5304.000000"
"00:14:58", "14.067714", "85.932286", "35166.000000", "-64.000000", "247146.000000", "-5304.000000"
"00:15:28", "93.321527", "6.678473", "31091.000000", "-2225.000000", "0.000000", "0.000000"
"00:15:58", "91.644307", "8.355693", "43718.000000", "-3986.000000", "0.000000", "0.000000"
"00:16:28", "83.520128", "16.479872", "43818.000000", "-5846.000000", "2800.000000", "0.000000"
"00:16:58", "24.600927", "75.399073", "2422.000000", "-3968.000000", "7746.000000", "-1400.000000"
"00:17:28", "54.945539", "45.054461", "4994.000000", "-222.000000", "3873.000000", "0.000000"
"00:17:58", "10.507365", "89.492635", "14530.000000", "-141738.000000", "430.000000", "-2162.000000"
"00:18:29", "24.574037", "75.425963", "45649.000000", "-145963.000000", "785.000000", "-2162.000000"
"00:18:59", "37.203528", "62.796472", "42854.000000", "-66940.000000", "5394.000000", "0.000000"
"00:19:30", "67.454671", "32.545329", "141072.000000", "-63455.000000", "4609.000000", "0.000000"
"00:20:00", "95.762625", "4.237375", "130580.000000", "-4938.000000", "840.000000", "0.000000"
"00:20:33", "95.365006", "4.634994", "17283.000000", "0.000000", "840.000000", "0.000000"
"00:21:03", "99.957424", "0.042576", "131474.000000", "-56.000000", "0.000000", "0.000000"
"00:21:33", "93.741765", "6.258235", "118153.000000", "-8454.000000", "0.000000", "-8479.000000"
"00:22:03", "53.870880", "46.129120", "2020.000000", "-8408.000000", "1781.000000", "-9879.000000"
"00:22:33", "52.704012", "47.295988", "13059.000000", "-7882.000000", "3837.000000", "0.000000"
"00:23:04", "45.564293", "54.435707", "10719.000000", "-8056.000000", "4750.000000", "0.000000"
"00:23:34", "3.744109", "96.255891", "561.000000", "-2104.000000", "12807.000000", "-19.000000"
"00:24:04", "5.091523", "94.908477", "3462.000000", "-14858.000000", "62761.000000", "-702.000000"
"00:24:34", "6.255782", "93.744218", "3575.000000", "-12970.000000", "50867.000000", "-685.000000"
"00:25:04", "36.277372", "63.722628", "495.000000", "-863.000000", "10.000000", "-2.000000"
"00:25:34", "17.464351", "82.535649", "243127.000000", "-821.000000", "1148185.000000", "0.000000"
"00:26:04", "16.836257", "83.163743", "243127.000000", "-121.000000", "1200820.000000", "0.000000"
"00:26:35", "1.166361", "98.833639", "600.000000", "-121.000000", "54280.000000", "-42.000000"
"00:27:05", "67.102498", "32.897502", "1474.000000", "-9.000000", "1400.000000", "-1400.000000"
"00:27:35", "97.531221", "2.468779", "11750.000000", "-9.000000", "333.000000", "-1761.000000"
"00:28:05", "19.394761", "80.605239", "15232.000000", "-64276.000000", "529.000000", "-361.000000"
"00:28:35", "19.821070", "80.178930", "14913.000000", "-65675.000000", "196.000000", "-1371.000000"
"00:29:05", "85.786631", "14.213369", "21859.000000", "-1715.000000", "2074.000000", "-1010.000000"
"00:29:36", "20.273219", "79.726781", "23328.000000", "-93638.000000", "2074.000000", "-1010.000000"
"00:30:06", "17.072102", "82.927898", "20942.000000", "-93469.000000", "8699.000000", "-91.000000"
"00:30:37", "89.202453", "10.797547", "112784.000000", "-3513.000000", "10150.000000", "-91.000000"
"00:31:07", "90.106461", "9.893539", "71604.000000", "-4259.000000", "3603.000000", "0.000000"
"00:31:37", "91.851606", "8.148394", "71816.000000", "-5507.000000", "867.000000", "-34.000000"
"00:32:07", "95.862217", "4.137783", "134106.000000", "-4923.000000", "867.000000", "-34.000000"
"00:32:37", "65.932599", "34.067401", "134132.000000", "-4922.000000", "64738.000000", "-685.000000"
"00:33:07", "7.926728", "92.073272", "7104.000000", "-2129.000000", "97393.000000", "-1464.000000"
"00:33:37", "5.040234", "94.959766", "4555.000000", "-1997.000000", "99138.000000", "-813.000000"
"00:34:07", "66.851665", "33.148335", "3162.000000", "-27.000000", "1944.000000", "-813.000000"
"00:34:37", "93.193489", "6.806511", "10707.000000", "-55.000000", "727.000000", "0.000000"
"00:35:07", "45.081967", "54.918033", "1980.000000", "-1324.000000", "1088.000000", "0.000000"
"00:35:38", "74.704245", "25.295755", "4294.000000", "-1454.000000", "0.000000", "0.000000"
"00:36:08", "72.091485", "27.908515", "6757.000000", "-2396.000000", "557.000000", "-871.000000"
"00:36:38", "76.195115", "23.804885", "9298.000000", "-1759.000000", "1418.000000", "-871.000000"
"00:37:08", "18.846567", "81.153433", "8075.000000", "-1026.000000", "33745.000000", "0.000000"
"00:37:38", "11.281803", "88.718197", "4421.000000", "-1021.000000", "33745.000000", "0.000000"
"00:38:08", "15.912415", "84.087585", "7071.000000", "-304.000000", "37062.000000", "0.000000"
"00:38:38", "38.398335", "61.601665", "45045.000000", "-75143.000000", "4179.000000", "-4399.000000"
"00:39:08", "67.926291", "32.073709", "41155.000000", "-74843.000000", "1.000000", "-117351.000000"
"00:39:38", "99.103188", "0.896812", "140457.000000", "-2293.000000", "1.000000", "-113044.000000"
"00:40:09", "14.179153", "85.820847", "261192.000000", "-2900.000000", "2273873.000000", "-114972.000000"
"00:40:39", "5.775229", "94.224771", "137408.000000", "-1349.000000", "2273873.000000", "-2045.000000"
"00:41:09", "1.789413", "98.210587", "41418.000000", "-738.000000", "2273830.000000", "-25.000000"
"00:41:39", "39.637441", "60.362559", "976.000000", "0.000000", "3463.000000", "-1298.000000"
"00:42:09", "93.775876", "6.224124", "64577.000000", "-1032.000000", "3463.000000", "-3147.000000"
"00:42:39", "95.441985", "4.558015", "67683.000000", "-3398.000000", "0.000000", "-3469.000000"
"00:43:09", "49.123063", "50.876937", "6722.000000", "-5029.000000", "1933.000000", "0.000000"
"00:43:39", "89.555446", "10.444554", "243556.000000", "-27186.000000", "1933.000000", "-6121.000000"
"00:44:09", "73.909255", "26.090745", "308592.000000", "-109164.000000", "1933.000000", "-6121.000000"
"00:44:39", "46.083720", "53.916280", "72186.000000", "-82109.000000", "2346.000000", "0.000000"
"00:45:09", "93.230208", "6.769792", "42912.000000", "-158.000000", "2958.000000", "0.000000"
"00:45:39", "93.263402", "6.736598", "45396.000000", "-465.000000", "2958.000000", "-1993.000000"
"00:46:10", "96.990706", "3.009294", "109591.000000", "-1104.000000", "3128.000000", "-26808.000000"
"00:46:40", "17.978775", "82.021225", "129811.000000", "-702568.000000", "6234.000000", "-25556.000000"
"00:47:12", "3.614104", "96.385896", "23054.000000", "-702657.000000", "6615.000000", "-3541.000000"
"00:47:42", "73.467104", "26.532896", "65988.000000", "-21319.000000", "3580.000000", "-2955.000000"
"00:48:12", "90.108022", "9.891978", "194873.000000", "-21255.000000", "155.000000", "-155.000000"
"00:48:42", "66.008037", "33.991963", "131117.000000", "-68194.000000", "155.000000", "-1608.000000"
"00:49:13", "62.656230", "37.343770", "107332.000000", "-68841.000000", "0.000000", "-8171.000000"
"00:49:46", "82.203051", "17.796949", "313910.000000", "-69304.000000", "1538.000000", "-13305.000000"
"00:50:16", "96.278954", "3.721046", "246187.000000", "-4791.000000", "5238.000000", "-13305.000000"
"00:50:46", "30.105186", "69.894814", "12307.000000", "-4826.000000", "23747.000000", "0.000000"
"00:51:16", "22.300800", "77.699200", "6023.000000", "-2476.000000", "18509.000000", "0.000000"
"00:51:46", "80.501409", "19.498591", "1.000000", "-2519.000000", "872.000000", "-13999.000000"
"00:52:16", "57.818419", "42.181581", "196.000000", "-9484.000000", "872.000000", "-13999.000000"
"00:52:46", "20.974930", "79.025070", "2104.000000", "-14185.000000", "0.000000", "-1661.000000"
"00:53:16", "42.352673", "57.647327", "5763.000000", "-10105.000000", "0.000000", "-1661.000000"
"00:53:46", "99.654392", "0.345608", "704803.000000", "-2454.000000", "0.000000", "-2795.000000"
"00:54:16", "98.072274", "1.927726", "703090.000000", "-12976.000000", "899.000000", "-2795.000000"
"00:54:47", "81.605469", "18.394531", "13521.000000", "-2222.000000", "899.000000", "-325.000000"
"00:55:17", "85.700253", "14.299747", "17996.000000", "-2158.000000", "899.000000", "-325.000000"
"00:55:48", "100.000000", "0.000000", "18702.000000", "0.000000", "0.000000", "0.000000"
"00:56:18", "96.407465", "3.592535", "6199.000000", "-187.000000", "44.000000", "0.000000"
"00:56:49", "87.745358", "12.254642", "1200.000000", "-187.000000", "44.000000", "-454.000000"
"00:57:19", "88.548794", "11.451206", "2005.000000", "0.000000", "318.000000", "-454.000000"
"00:57:49", "80.484057", "19.515943", "1641.000000", "-190.000000", "318.000000", "-454.000000"
"00:58:21", "97.379310", "2.620690", "2857.000000", "-190.000000", "0.000000", "-4203.000000"
"00:58:51", "99.850808", "0.149192", "122960.000000", "-190.000000", "0.000000", "-4203.000000"
"00:59:21", "97.191841", "2.808159", "123397.000000", "0.000000", "3687.000000", "-4212.000000"
"00:59:51", "94.677364", "5.322636", "131662.000000", "-4227.000000", "11052.000000", "-140116.000000"
"01:00:21", "91.926449", "8.073551", "14275.000000", "-13664.000000", "0.000000", "-141305.000000"
"01:00:51", "97.653346", "2.346654", "6653.000000", "-202.000000", "0.000000", "-1753.000000"
"01:01:21", "99.961570", "0.038430", "38622.000000", "-103.000000", "0.000000", "-229294.000000"
"01:01:53", "99.962855", "0.037145", "47062.000000", "-103.000000", "0.000000", "-230128.000000"
"01:02:24", "99.736703", "0.263297", "14373.000000", "-582.000000", "62.000000", "-229574.000000"
"01:02:55", "90.601777", "9.398223", "15430.000000", "-1620.000000", "62.000000", "-785.000000"
"01:03:25", "70.116718", "29.883282", "4085.000000", "-1679.000000", "62.000000", "0.000000"
"01:03:55", "99.978937", "0.021063", "8476581.000000", "-950.000000", "836.000000", "-836.000000"
"01:04:25", "99.988712", "0.011288", "8475754.000000", "-121.000000", "836.000000", "-1280.000000"
"01:04:56", "99.933982", "0.066018", "8522576.000000", "-125.000000", "5506.000000", "-1280.000000"
"01:05:26", "92.074742", "7.925258", "52241.000000", "-4.000000", "4670.000000", "-2061.000000"
"01:05:56", "97.506096", "2.493904", "52768.000000", "0.000000", "1391.000000", "-1617.000000"
"01:06:26", "49.724794", "50.275206", "10037.000000", "-5073.000000", "6710.000000", "-1617.000000"
"01:06:57", "19.082693", "80.917307", "7876.000000", "-5666.000000", "27731.000000", "0.000000"
"01:07:27", "44.859830", "55.140170", "22500.000000", "-5666.000000", "25529.000000", "-2879.000000"
"01:07:57", "50.218555", "49.781445", "25728.000000", "-3029.000000", "25329.000000", "-2879.000000"
"01:08:27", "85.245902", "14.754098", "14664.000000", "-2519.000000", "19.000000", "0.000000"
"01:08:57", "94.860830", "5.139170", "12201.000000", "-173.000000", "488.000000", "0.000000"
"01:09:28", "17.669173", "82.330827", "1539.000000", "-8491.000000", "488.000000", "-388.000000"
"01:10:00", "40.851593", "59.148407", "5522.000000", "-8357.000000", "200.000000", "-388.000000"
"01:10:30", "97.131794", "2.868206", "6736.000000", "0.000000", "200.000000", "-37.000000"
"01:11:02", "99.877393", "0.122607", "10553.000000", "0.000000", "13.000000", "-37.000000"
"01:11:32", "57.536785", "42.463215", "5242.000000", "0.000000", "3896.000000", "-37.000000"
"01:12:02", "76.724268", "23.275732", "15229.000000", "-16.000000", "4604.000000", "0.000000"
"01:12:32", "2.801748", "97.198252", "16359.000000", "-699969.000000", "4591.000000", "-3950.000000"
"01:13:02", "3.409771", "96.590229", "20873.000000", "-702762.000000", "411.000000", "-3950.000000"
"01:13:32", "1.920014", "98.079986", "9815.000000", "-702746.000000", "411.000000", "-3950.000000"
"01:14:02", "65.873236", "34.126764", "4760.000000", "-2055.000000", "411.000000", "0.000000"
"01:14:32", "0.077035", "99.922965", "162.000000", "-210133.000000", "0.000000", "0.000000"
"01:15:02", "17.183409", "82.816591", "41215.000000", "-210133.000000", "4010.000000", "-3217.000000"
"01:15:32", "19.733197", "80.266803", "47178.000000", "-210133.000000", "4010.000000", "-5468.000000"
"01:16:02", "92.431173", "7.568827", "47178.000000", "-467.000000", "4017.000000", "-7581.000000"
"01:16:32", "97.941659", "2.058341", "18850.000000", "-482.000000", "7.000000", "-4418.000000"
"01:17:03", "96.788177", "3.211823", "12569.000000", "-482.000000", "7.000000", "-2167.000000"
"01:17:33", "99.443389", "0.556611", "37107.000000", "-15.000000", "193.000000", "-54.000000"
"01:18:03", "26.600405", "73.399595", "26897.000000", "-72540.000000", "1678.000000", "0.000000"
"01:18:33", "5.937488", "94.062512", "4675.000000", "-72540.000000", "1522.000000", "0.000000"
"01:19:04", "44.845918", "55.154082", "61412.000000", "-72540.000000", "2988.000000", "0.000000"
"01:19:34", "91.045951", "8.954049", "61324.000000", "-4462.000000", "1569.000000", "0.000000"
"01:20:04", "93.281942", "6.718058", "61956.000000", "-4462.000000", "0.000000", "0.000000"
"01:20:34", "37.366494", "62.633506", "7347.000000", "-12217.000000", "98.000000", "0.000000"
"01:21:05", "36.711723", "63.288277", "7306.000000", "-12217.000000", "378.000000", "0.000000"
"01:21:36", "91.297800", "8.702200", "134184.000000", "-12217.000000", "611.000000", "-399.000000"
"01:22:06", "95.682103", "4.317897", "132855.000000", "-5062.000000", "966.000000", "-722.000000"
"01:22:37", "91.331377", "8.668623", "136497.000000", "-5062.000000", "7962.000000", "-722.000000"
"01:23:10", "87.659042", "12.340958", "122635.000000", "-9303.000000", "7962.000000", "0.000000"
"01:23:40", "96.318875", "3.681125", "123240.000000", "-4265.000000", "445.000000", "0.000000"
"01:24:10", "100.000000", "0.000000", "98362.000000", "0.000000", "0.000000", "0.000000"
"01:24:40", "100.000000", "0.000000", "100170.000000", "-0.000000", "0.000000", "0.000000"
"01:25:10", "18.967171", "81.032829", "7118.000000", "-25394.000000", "5016.000000", "0.000000"
"01:25:40", "26.155009", "73.844991", "10377.000000", "-24282.000000", "5016.000000", "0.000000"
"01:26:10", "99.856100", "0.143900", "9715.000000", "0.000000", "14.000000", "0.000000"
"01:26:41", "96.117773", "3.882227", "16192.000000", "0.000000", "654.000000", "0.000000"
"01:27:12", "96.260372", "3.739628", "16474.000000", "0.000000", "640.000000", "0.000000"
"01:27:42", "69.501285", "30.498715", "27036.000000", "-11864.000000", "0.000000", "0.000000"
"01:28:12", "24.841408", "75.158592", "10573.000000", "-22978.000000", "9011.000000", "0.000000"
"01:28:42", "42.711189", "57.288811", "14545.000000", "-11114.000000", "9577.000000", "-881.000000"
"01:29:14", "43.744401", "56.255599", "18650.000000", "-23608.000000", "1509.000000", "-881.000000"
"01:29:44", "41.547582", "58.452418", "25780.000000", "-38065.000000", "8279.000000", "-7161.000000"
"01:30:16", "37.669600", "62.330400", "15209.000000", "-25571.000000", "9986.000000", "-6280.000000"
"01:30:46", "28.741712", "71.258288", "19290.000000", "-25571.000000", "22254.000000", "0.000000"
"01:31:17", "49.028373", "50.971627", "18645.000000", "0.000000", "19384.000000", "0.000000"
"01:31:47", "69.733448", "30.266552", "12427.000000", "0.000000", "6336.000000", "-2171.000000"
"01:32:17", "91.333049", "8.666951", "6407.000000", "0.000000", "814.000000", "-2171.000000"
"01:32:47", "3.600258", "96.399742", "19749.000000", "-525769.000000", "3026.000000", "0.000000"
"01:33:18", "25.980287", "74.019713", "88206.000000", "-526106.000000", "3018.000000", "-97512.000000"
"01:33:48", "28.115284", "71.884716", "109218.000000", "-526352.000000", "2212.000000", "-97512.000000"
"01:34:18", "98.936877", "1.063123", "90009.000000", "-667.000000", "1348.000000", "-97512.000000"
"01:34:48", "89.784765", "10.215235", "21358.000000", "-1082.000000", "1348.000000", "0.000000"
